entry_time,entry_price,direction,exit_time,exit_price,pnl,exit_reason,final_pnl,trade_date,day_pnl
2024-12-23 09:38:00+05:30,23721.65,long,2024-12-23 09:46:00+05:30,23756.15,34.5,Target,34.5,2024-12-23,34.5
2024-12-23 10:38:00+05:30,23780.7,short,2024-12-23 10:57:00+05:30,23802.25,-21.55,Stop Loss,12.95,2024-12-23,12.95
2024-12-23 11:01:00+05:30,23830.7,short,2024-12-23 11:17:00+05:30,23856.8,-26.1,Stop Loss,-13.150000000000002,2024-12-23,-13.150000000000002
2024-12-23 11:18:00+05:30,23855.55,short,2024-12-23 11:42:00+05:30,23848.2,7.35,Signal Flip,-5.8000000000000025,2024-12-23,-5.8000000000000025
2024-12-23 12:01:00+05:30,23800.85,long,2024-12-23 12:04:00+05:30,23779.35,-21.5,Stop Loss,-27.300000000000004,2024-12-23,-27.300000000000004
2024-12-23 12:05:00+05:30,23775.15,long,2024-12-23 12:11:00+05:30,23751.85,-23.3,Stop Loss,-50.60000000000001,2024-12-23,-50.60000000000001
2024-12-23 12:32:00+05:30,23733.25,long,2024-12-23 12:49:00+05:30,23706.85,-26.4,Stop Loss,-77.0,2024-12-23,-77.0
2024-12-23 12:50:00+05:30,23710.5,long,2024-12-23 12:56:00+05:30,23686.95,-23.55,Stop Loss,-100.55,2024-12-23,-100.55000000000001
2024-12-23 13:29:00+05:30,23667.1,long,2024-12-23 13:44:00+05:30,23704.9,37.8,Target,-62.75,2024-12-23,-62.75000000000001
2024-12-23 13:45:00+05:30,23699.8,short,2024-12-23 14:02:00+05:30,23669.3,30.5,Target,-32.25,2024-12-23,-32.25000000000001
2024-12-23 14:17:00+05:30,23701.1,short,2024-12-23 14:18:00+05:30,23728.7,-27.6,Stop Loss,-59.85,2024-12-23,-59.85000000000001
2024-12-23 14:22:00+05:30,23736.05,short,2024-12-23 14:39:00+05:30,23759.15,-23.1,Stop Loss,-82.95,2024-12-23,-82.95000000000002
2024-12-23 14:41:00+05:30,23763.85,short,2024-12-23 14:49:00+05:30,23731.85,32.0,Target,-50.95,2024-12-23,-50.95000000000001
2024-12-23 15:13:00+05:30,23761.05,short,2024-12-23 15:29:00+05:30,23747.2,13.85,End of Data,-37.1,2024-12-23,-37.10000000000001
